  -8.0000000e+01  -1.2277390e+02
  -7.8383838e+01  -1.2073804e+02
  -7.6767677e+01  -1.1508848e+02
  -7.5151515e+01  -1.1461660e+02
  -7.3535354e+01  -1.0795349e+02
  -7.1919192e+01  -1.0908296e+02
  -7.0303030e+01  -1.0275229e+02
  -6.8686869e+01  -1.0875893e+02
  -6.7070707e+01  -1.0058950e+02
  -6.5454545e+01  -9.8160306e+01
  -6.3838384e+01  -9.2271036e+01
  -6.2222222e+01  -9.3032108e+01
  -6.0606061e+01  -8.7411374e+01
  -5.8989899e+01  -8.4598367e+01
  -5.7373737e+01  -8.7038611e+01
  -5.5757576e+01  -8.5593435e+01
  -5.4141414e+01  -7.8909875e+01
  -5.2525253e+01  -7.9670558e+01
  -5.0909091e+01  -7.5768852e+01
  -4.9292929e+01  -7.4011144e+01
  -4.7676768e+01  -7.0081207e+01
  -4.6060606e+01  -6.6504120e+01
  -4.4444444e+01  -6.3686704e+01
  -4.2828283e+01  -6.2253970e+01
  -4.1212121e+01  -6.1833211e+01
  -3.9595960e+01  -5.9047391e+01
  -3.7979798e+01  -5.4183071e+01
  -3.6363636e+01  -5.6550420e+01
  -3.4747475e+01  -5.1944849e+01
  -3.3131313e+01  -5.0141639e+01
  -3.1515152e+01  -4.5080136e+01
  -2.9898990e+01  -4.0867941e+01
  -2.8282828e+01  -3.4523025e+01
  -2.6666667e+01  -3.6674921e+01
  -2.5050505e+01  -3.6216085e+01
  -2.3434343e+01  -3.2402047e+01
  -2.1818182e+01  -2.7992648e+01
  -2.0202020e+01  -2.4279539e+01
  -1.8585859e+01  -2.4655523e+01
  -1.6969697e+01  -2.1160735e+01
  -1.5353535e+01  -1.6193933e+01
  -1.3737374e+01  -1.5532319e+01
  -1.2121212e+01  -1.3233155e+01
  -1.0505051e+01  -1.1470216e+01
  -8.8888889e+00  -8.9914786e+00
  -7.2727273e+00  -3.5203565e+00
  -5.6565657e+00  -4.1138241e+00
  -4.0404040e+00  -5.5918743e-01
  -2.4242424e+00   5.3573437e-02
  -8.0808081e-01   5.9145615e+00
   8.0808081e-01   7.7912816e+00
   2.4242424e+00   1.0761875e+01
   4.0404040e+00   1.2410794e+01
   5.6565657e+00   1.3566308e+01
   7.2727273e+00   1.7465734e+01
   8.8888889e+00   1.7654004e+01
   1.0505051e+01   2.2130889e+01
   1.2121212e+01   3.0008319e+01
   1.3737374e+01   3.1324424e+01
   1.5353535e+01   3.2301208e+01
   1.6969697e+01   3.4027644e+01
   1.8585859e+01   3.7390484e+01
   2.0202020e+01   3.9102234e+01
   2.1818182e+01   4.2772591e+01
   2.3434343e+01   4.5906476e+01
   2.5050505e+01   4.4038293e+01
   2.6666667e+01   4.8284688e+01
   2.8282828e+01   5.1198224e+01
   2.9898990e+01   5.2728146e+01
   3.1515152e+01   5.4435875e+01
   3.3131313e+01   6.1554342e+01
   3.4747475e+01   6.2931586e+01
   3.6363636e+01   6.2360266e+01
   3.7979798e+01   6.4662321e+01
   3.9595960e+01   7.0207934e+01
   4.1212121e+01   7.0561717e+01
   4.2828283e+01   7.2128654e+01
   4.4444444e+01   7.6616195e+01
   4.6060606e+01   7.8007502e+01
   4.7676768e+01   8.3982063e+01
   4.9292929e+01   8.9481833e+01
   5.0909091e+01   8.4052640e+01
   5.2525253e+01   9.1715410e+01
   5.4141414e+01   9.3471128e+01
   5.5757576e+01   9.3527010e+01
   5.7373737e+01   9.9721296e+01
   5.8989899e+01   9.8607089e+01
   6.0606061e+01   9.9205198e+01
   6.2222222e+01   1.0330893e+02
   6.3838384e+01   1.0929774e+02
   6.5454545e+01   1.1154789e+02
   6.7070707e+01   1.1531844e+02
   6.8686869e+01   1.1688054e+02
   7.0303030e+01   1.2100556e+02
   7.1919192e+01   1.1706108e+02
   7.3535354e+01   1.2304756e+02
   7.5151515e+01   1.2551602e+02
   7.6767677e+01   1.2871251e+02
   7.8383838e+01   1.3354851e+02
   8.0000000e+01   1.3264715e+02
